Value,Type,Year,Field,FieldOrder1,FieldOrder2,Fieldkm,Field2km,Field3km,Variety,Variety2,,Transect distance conversions,,,,
25.95520422,inc,1,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,90,4.4,4.4,90,,1.301775148
19.89459816,inc,1,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,3.88,79.36363636,,1.147928994
13.43873518,inc,1,3,3,9,1,1,1,Eb,Se,,,3.38,69.13636364,,1
11.98945982,inc,1,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,2.89,59.11363636,,0.855029586
40.71146245,inc,1,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,2.35,48.06818182,,0.695266272
64.82213439,inc,1,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,1.91,39.06818182,,0.565088757
50.32938076,inc,1,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,1.39,28.43181818,,0.411242604
78.52437418,inc,1,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,0.69,14.11363636,,0.204142012
78.65612648,inc,1,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,0.47,9.613636364,,0.139053254
96.83794466,inc,1,10,10,100,0,0,0,Eb,Al,,,0,0,,0
0.165424739,adult,1,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
0.134128167,adult,1,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,,,,
0.165424739,adult,1,3,3,9,1,1,1,Eb,Se,,,,,,
0.165424739,adult,1,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,,,,
0.827123696,adult,1,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,,,,
0.56780924,adult,1,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,,,,
0.397913562,adult,1,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,,,,
0.496274218,adult,1,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,,,,
0.093889717,adult,1,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,,,,
0.40685544,adult,1,10,10,100,0,0,0,Eb,Al,,,,,,
22.00263505,inc,2,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
11.85770751,inc,2,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,,,,
21.08036891,inc,2,3,3,9,1,1,1,Eb,Se,,,,,,
15.94202899,inc,2,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,,,,
75.36231884,inc,2,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,,,,
58.1027668,inc,2,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,,,,
59.55204216,inc,2,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,,,,
51.77865613,inc,2,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,,,,
80.10540184,inc,2,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,,,,
62.31884058,inc,2,10,10,100,0,0,0,Eb,Al,,,,,,
0.670640835,adult,2,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
0.800298063,adult,2,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,,,,
0.912071535,adult,2,3,3,9,1,1,1,Eb,Se,,,,,,
0.871833085,adult,2,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,,,,
1.283159463,adult,2,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,,,,
0.800298063,adult,2,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,,,,
0.679582712,adult,2,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,,,,
2.79880775,adult,2,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,,,,
2.168405365,adult,2,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,,,,
1.45752608,adult,2,10,10,100,0,0,0,Eb,Al,,,,,,
55.33596838,inc,3,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
25.03293808,inc,3,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,,,,
15.15151515,inc,3,3,3,9,1,1,1,Eb,Se,,,,,,
20.28985507,inc,3,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,,,,
72.85902503,inc,3,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,,,,
89.06455863,inc,3,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,,,,
83.92621871,inc,3,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,,,,
85.63899868,inc,3,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,,,,
87.35177866,inc,3,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,,,,
75.62582345,inc,3,10,10,100,0,0,0,Eb,Al,,,,,,
0.594634873,adult,3,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
0.107302534,adult,3,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,,,,
0.129657228,adult,3,3,3,9,1,1,1,Eb,Se,,,,,,
0.304023845,adult,3,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,,,,
0.482861401,adult,3,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,,,,
0.393442623,adult,3,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,,,,
0.277198212,adult,3,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,,,,
0.786885246,adult,3,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,,,,
1.086438152,adult,3,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,,,,
0.505216095,adult,3,10,10,100,0,0,0,Eb,Al,,,,,,
25.95520422,inc,4,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
10.01317523,inc,4,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,,,,
16.60079051,inc,4,3,3,9,1,1,1,Eb,Se,,,,,,
35.83662714,inc,4,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,,,,
61.00131752,inc,4,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,,,,
83.53096179,inc,4,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,,,,
74.04479578,inc,4,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,,,,
82.87220026,inc,4,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,,,,
72.85902503,inc,4,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,,,,
48.22134387,inc,4,10,10,100,0,0,0,Eb,Al,,,,,,
0.107302534,adult,4,1,1,1,1.301775148,1.694618536,2.206012295,Eb,Ka,,,,,,
0.129657228,adult,4,2,2,4,1.147928994,1.317740975,1.512673072,Eb,Ka,,,,,,
0.165424739,adult,4,3,3,9,1,1,1,Eb,Se,,,,,,
0.165424739,adult,4,4,4,16,0.855029586,0.731075593,0.625091261,Eb,Ba,,,,,,
0.393442623,adult,4,5,5,25,0.695266272,0.483395189,0.336088371,Eb,Bu,,,,,,
0.196721311,adult,4,6,6,36,0.565088757,0.319325304,0.180447139,Eb,Bu,,,,,,
0.125186289,adult,4,7,7,49,0.411242604,0.169120479,0.069549546,Eb,Ba,,,,,,
0.603576751,adult,4,8,8,64,0.204142012,0.041673961,0.008507406,Eb,Ba,,,,,,
0.228017884,adult,4,9,9,81,0.139053254,0.019335808,0.002688707,Eb,Al,,,,,,
1.837555887,adult,4,10,10,100,0,0,0,Eb,Al,,,,,,
