,,792,792,1092,1092,1192,1192,193,193,293,293,493,493,593,593,793,793,893,893,,,,,,,,,
,,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,,,,,,NYMPH MEANS CENTRAL,,,NYMPH MEANS EASTERN
"Cen, site#",1,0.72,4.41,0.44,2.84,,,0.36,2.89,,,0.49,5.53,,,0.19,2.88,,,,<-,CENTRAL TRANSECT,,,1.07,,,3.74
,2,0.16,1.67,0.22,2.61,,,0.65,1.85,,,0.59,2.1,,,0.15,2.52,,,,,,,,0.9,,,2.24
,3,0.13,0.32,0.15,0.26,,,0.44,0.83,,,0.71,0.73,,,0.24,0.84,,,,,,,,0.8,,,1.76
,4,0.11,2.02,0.07,0.89,,,1.39,1.96,,,1.55,2.83,,,1.1,4.72,,,,,,,,2.47,,,3.23
,5,0.35,2.05,0.15,1.83,,,2.32,4.26,,,2.34,5.46,,,1.53,7.3,,,,,,,,3.96,,,6.56
,6,1.18,7.8,0.09,6.6,,,0.79,5.6,,,6.12,6.46,,,1.8,8.1,,,,,,,,6.06,,,4.1
,7,1.13,8.05,0.07,7.24,,,0.66,6.81,,,0.97,6.7,,,1.59,8.06,,,,,,,,3.54,,,2.7
,8,1.03,7.58,0.06,7.75,,,0.6,5.16,,,2.78,7.25,,,1.44,8.03,,,,,,,,2,,,4.52
,9,0.66,7.29,0.36,5.52,,,1.06,4.14,,,1.49,7.14,,,1.9,8.28,,,,,,,,2.91,,,6.33
,10,0.92,8.18,0.14,7.51,,,1.1,7.68,,,1.1,6.98,,,0.69,8.22,,,,,,,,2.65,,,3.6
"Eas, site#",1,,,,,0.37,1.97,,,1.5,1.67,,,1.33,4.2,,,0.24,1.97,,<-,EASTERN TRANSECT,,,,,,
,2,,,,,0.3,1.51,,,1.79,0.9,,,0.24,1.9,,,0.29,0.76,,,,,,,,,
,3,,,,,0.37,1.02,,,2.04,1.6,,,0.29,1.15,,,0.37,1.26,,,,,,,,,
,4,,,,,0.37,0.91,,,1.95,1.21,,,0.68,1.54,,,0.37,2.72,,,,,,,,,
,5,,,,,1.85,3.09,,,2.87,5.72,,,1.08,5.53,,,0.88,4.63,,,,,,,,,
,6,,,,,1.27,4.92,,,1.79,4.41,,,0.88,6.76,,,0.44,6.34,,,,,,,,,
,7,,,,,0.89,3.82,,,1.52,4.52,,,0.62,6.37,,,0.28,5.62,,,,,,,,,
,8,,,,,1.11,5.96,,,6.26,3.93,,,1.76,6.5,,,1.35,6.29,,,,,,,,,
,9,,,,,0.21,5.97,,,4.85,6.08,,,2.43,6.63,,,0.51,5.53,,,,,,,,,
,10,,,,,0.91,7.35,,,3.26,4.73,,,1.13,5.74,,,4.11,3.66,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y Axis limit,,10,100,10,100,3,100,10,100,3,100,10,100,3,100,10,100,3,100,,,,,,160,,,35
Y Axis ppt measure,,5.46,8.33,5.46,8.33,6.71,7.59,5.46,8.33,6.71,7.59,5.46,8.33,6.71,7.59,5.46,8.33,6.71,7.59,,,,,,6.57,,,6.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERTED (site specific ppt measurements scaled by Y axis limit/Yaxis measure),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,792,792,1092,1092,1192,1192,193,193,293,293,493,493,593,593,793,793,893,893,,MEAN AD,MEAN INC,,,,,,
,,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,Adults,InfPlants,,,,,,,,,
"Cen, site#",1,1.318681319,52.94117647,0.805860806,34.09363745,,,0.659340659,34.69387755,,,0.897435897,66.38655462,,,0.347985348,34.57382953,,,,0.805860806,44.53781512,,,,,,
,2,0.293040293,20.04801921,0.402930403,31.33253301,,,1.19047619,22.20888355,,,1.080586081,25.21008403,,,0.274725275,30.25210084,,,,0.648351648,25.81032413,,,,,,
,3,0.238095238,3.841536615,0.274725275,3.121248499,,,0.805860806,9.963985594,,,1.3003663,8.763505402,,,0.43956044,10.08403361,,,,0.611721612,7.154861944,,,,,,
,4,0.201465201,24.24969988,0.128205128,10.68427371,,,2.545787546,23.52941176,,,2.838827839,33.97358944,,,2.014652015,56.66266507,,,,1.545787546,29.81992797,,,,,,
,5,0.641025641,24.60984394,0.274725275,21.96878752,,,4.249084249,51.14045618,,,4.285714286,65.54621849,,,2.802197802,87.63505402,,,,2.450549451,50.18007203,,,,,,
,6,2.161172161,93.63745498,0.164835165,79.23169268,,,1.446886447,67.22689076,,,11.20879121,77.55102041,,,3.296703297,97.23889556,,,,3.655677656,82.97719088,,,,,,
,7,2.06959707,96.63865546,0.128205128,86.91476591,,,1.208791209,81.75270108,,,1.776556777,80.43217287,,,2.912087912,96.75870348,,,,1.619047619,88.49939976,,,,,,
,8,1.886446886,90.99639856,0.10989011,93.03721489,,,1.098901099,61.94477791,,,5.091575092,87.03481393,,,2.637362637,96.39855942,,,,2.164835165,85.88235294,,,,,,
,9,1.208791209,87.515006,0.659340659,66.2665066,,,1.941391941,49.69987995,,,2.728937729,85.71428571,,,3.47985348,99.3997599,,,,2.003663004,77.71908763,,,,,,
,10,1.684981685,98.19927971,0.256410256,90.15606242,,,2.014652015,92.19687875,,,2.014652015,83.79351741,,,1.263736264,98.67947179,,,,1.446886447,92.60504202,MEAN AD,MEAN INC,,,,
"Eas, site#",1,,,,,0.165424739,25.95520422,,,0.670640835,22.00263505,,,0.594634873,55.33596838,,,0.107302534,25.95520422,,,,0.384500745,32.31225297,,,,
,2,,,,,0.134128167,19.89459816,,,0.800298063,11.85770751,,,0.107302534,25.03293808,,,0.129657228,10.01317523,,,,0.292846498,16.69960475,,,,
,3,,,,,0.165424739,13.43873518,,,0.912071535,21.08036891,,,0.129657228,15.15151515,,,0.165424739,16.60079051,,,,0.34314456,16.56785244,,,,
,4,,,,,0.165424739,11.98945982,,,0.871833085,15.94202899,,,0.304023845,20.28985507,,,0.165424739,35.83662714,,,,0.376676602,21.01449276,,,,
,5,,,,,0.827123696,40.71146245,,,1.283159463,75.36231884,,,0.482861401,72.85902503,,,0.393442623,61.00131752,,,,0.746646796,62.48353096,,,,
,6,,,,,0.56780924,64.82213439,,,0.800298063,58.1027668,,,0.393442623,89.06455863,,,0.196721311,83.53096179,,,,0.489567809,73.8801054,,,,
,7,,,,,0.397913562,50.32938076,,,0.679582712,59.55204216,,,0.277198212,83.92621871,,,0.125186289,74.04479578,,,,0.369970194,66.96310935,,,,
,8,,,,,0.496274218,78.52437418,,,2.79880775,51.77865613,,,0.786885246,85.63899868,,,0.603576751,82.87220026,,,,1.171385991,74.70355731,,,,
,9,,,,,0.093889717,78.65612648,,,2.168405365,80.10540184,,,1.086438152,87.35177866,,,0.228017884,72.85902503,,,,0.89418778,79.743083,,,,
,10,,,,,0.40685544,96.83794466,,,1.45752608,62.31884058,,,0.505216095,75.62582345,,,1.837555887,48.22134387,,,,1.051788376,70.75098814,,,,
